tech_node_id,name,official_name,short_name,alias,name_en,description,classification_code,classification_name,maturity_level,technology_status,application_scenario,key_function,technical_route,parent_technology,depends_on,supersedes,improves,cooperates_with,related_policy,owned_by_enterprise,strategic_importance_level,bottleneck_level,source_reference,maintainer,updated_at
tc_015,GAIA-1,GAIA-1,GAIA-1,gaia 1|gaia1,gaia-1,自动驾驶领域生成式世界模型节点,EI.03.05,模型与表征,research,active,自动驾驶|场景生成|视频仿真,生成驾驶场景和未来状态,生成式建模|视频预测|驾驶世界模型,tc_011,tc_012|tc_007,,tc_011,tc_021,,unknown,medium,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_016,联合嵌入预测架构,联合嵌入预测架构,JEPA,joint embedding predictive architecture|joint-embedding predictive architecture,jepa,基于联合嵌入的预测式自监督学习架构,EI.03.06,模型与表征,research,active,视频表征|自监督学习|世界模型预训练,学习抽象预测表征,嵌入预测|自监督学习|表示学习,tc_010,tc_031,,tc_014,tc_012,,unknown,medium,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_017,基于模型的强化学习,基于模型的强化学习,MBRL,model-based rl|model based reinforcement learning,model-based reinforcement learning,使用环境模型辅助规划和决策的强化学习方法,EI.04,学习与训练,research_to_early_application,active,机器人控制|策略学习|自动驾驶,提升样本效率和策略规划能力,环境模型|策略优化|模型预测控制|强化学习,tc_001,tc_010|tc_019,,tc_018,tc_020|tc_022|tc_024,,unknown,high,high,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_018,Dreamer,Dreamer,Dreamer,dreamer v1|dreamer v2|dreamer v3|daydreamer,dreamer,基于世界模型进行策略学习的 Dreamer 系列方法,EI.04.01,学习与训练,research,active,机器人策略学习|仿真控制|具身智能训练,在潜空间中进行策略学习,潜空间动态模型|模型学习|策略优化,tc_017,tc_010|tc_019,,tc_017,tc_020,,unknown,medium,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_019,强化学习,强化学习,RL,rl|reinforcement learning|deep reinforcement learning|强化学习,reinforcement learning,通过奖励反馈优化智能体行为策略的方法,EI.04.02,学习与训练,application,active,机器人控制|路径规划|自动驾驶,学习动作策略,奖励建模|策略梯度|价值学习|深度强化学习,tc_001,tc_031,,tc_017,tc_020|tc_024,,unknown,high,medium,result/20260427_094827/signals.csv|src/config/object_family_registry.yaml,project_team,2026-04-28
tc_020,机器人训练,机器人训练,机器人训练,robot learning|robotic training|机器人学习,robot training,使用真实或仿真数据训练机器人策略和能力的方法,EI.04.03,学习与训练,research_to_early_application,active,机器人策略学习|仿真训练|模仿学习,形成可迁移的机器人能力,仿真训练|模仿学习|强化学习|数据合成,tc_001,tc_019|tc_021,,tc_001,tc_022|tc_024|tc_025,,unknown,high,high,src/config/object_family_registry.yaml|result/20260427_094827/signals.csv,project_team,2026-04-28
tc_021,具身智能仿真,具身智能仿真,具身仿真,embodied sim|embodied intelligence simulation|simulation|simulator,embodied simulation,用于训练和测试具身智能系统的仿真环境与方法,EI.04.04,学习与训练,early_application,active,仿真训练|策略验证|机器人测试,降低真实环境训练成本,物理仿真|数据合成|环境建模|强化学习训练,tc_001,tc_010|tc_019,,tc_020,tc_022|tc_024,,unknown,high,high,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_022,机器人规划,机器人规划,机器人规划,robotic planning|robot path planning|机器人路径规划,robot planning,机器人面向任务和运动过程的规划能力节点,EI.05,规划与决策,early_application,active,机器人移动|操作任务|任务执行,生成可执行的任务和运动序列,任务规划|运动规划|路径规划|约束求解,tc_001,tc_010|tc_019,,tc_023,tc_024|tc_037|tc_038,,unknown,high,high,src/config/object_family_registry.yaml|result/20260427_094827/signals.csv,project_team,2026-04-28
tc_023,路径规划,路径规划,路径规划,path planning|路径规划,path planning,计算从起点到目标位置的可行或最优路径,EI.05.01,规划与决策,application,active,机器人导航|自动驾驶|仓储物流,生成避障路径和轨迹,图搜索|采样规划|优化规划|学习规划,tc_022,tc_027|tc_037,,tc_022,tc_024,,unknown,medium,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_024,机器人控制,机器人控制,控制,robot control|motion control|运动控制|control,robot control,面向机器人运动执行和稳定性的控制技术节点,EI.06,控制与执行,application,active,机器人运动|遥操作|动态平衡|工业控制,实现稳定精准和实时执行,运动控制|力控|模型预测控制|反馈控制,tc_001,tc_008|tc_019,,tc_002,tc_022|tc_038|tc_039,,unknown,high,high,result/20260427_094827/signals.csv,project_team,2026-04-28
tc_025,机器人感知,机器人感知,感知,robot perception|perception|感知机器人,robot perception,机器人从多源传感数据中理解环境和对象的能力,EI.07,感知与理解,early_application,active,导航|操作|交互|场景理解,形成环境和对象表征,视觉感知|多模态融合|目标识别|语义理解,tc_001,tc_006|tc_007|tc_009,,tc_026,tc_027|tc_030,,unknown,high,high,result/20260427_094827/signals.csv|v2.6实施方案.md,project_team,2026-04-28
tc_026,多模态感知融合,多模态感知融合,多模态感知,multimodal perception|multimodal sensing|multimodal fusion|多模态感知,multimodal perception,融合视觉听觉触觉惯性等多源数据的感知能力,EI.07.01,感知与理解,early_application,active,人形机器人|智能终端|复杂环境感知,提升环境理解的鲁棒性,多传感融合|跨模态对齐|实时融合|语义感知,tc_025,tc_007|tc_008|tc_009,,tc_025,tc_020|tc_041,,unknown,high,high,result/20260427_094827/signals.csv,project_team,2026-04-28
tc_027,SLAM,同步定位与建图,SLAM,simultaneous localization and mapping|slam system|同步定位与建图,slam,机器人在未知环境中同步定位并构建地图的方法,EI.08,定位与建图,application,active,机器人导航|AR|自动驾驶|仓储物流,提供定位和地图能力,视觉SLAM|激光SLAM|传感融合|回环检测,tc_001,tc_006|tc_007|tc_008,,tc_028|tc_029,tc_023|tc_037,,unknown,high,high,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_028,视觉SLAM,视觉SLAM,Visual SLAM,visual slam|视觉同步定位与建图,visual slam,基于视觉图像完成定位与地图构建的方法,EI.08.01,定位与建图,application,active,机器人导航|遥操作|室内定位,用视觉完成位姿估计和建图,特征匹配|视觉里程计|回环检测|三维重建,tc_027,tc_007|tc_030,,tc_027,tc_039,,unknown,medium,medium,src/config/object_family_registry.yaml|result/20260427_094827/signals.csv,project_team,2026-04-28
tc_029,激光SLAM,激光SLAM,LiDAR SLAM,lidar slam|激光雷达导航, lidar slam,基于激光雷达点云完成定位与建图的方法,EI.08.02,定位与建图,application,active,移动机器人|自动驾驶|仓储物流,用点云完成定位和地图构建,点云配准|里程计|地图优化|回环检测,tc_027,tc_006,,tc_027,tc_023|tc_037,,unknown,medium,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_030,三维表示,三维表示,3D表示,3d representation|3d表示|三维表示|3d representations,3d representation,用于表达三维对象和场景结构的技术节点,EI.09,表征与场景理解,research_to_early_application,active,三维重建|机器人感知|仿真环境,表达空间结构和几何关系,点云|网格|隐式场|神经场,tc_025,tc_007|tc_009,,tc_025,tc_027|tc_021,,unknown,medium,medium,src/config/object_family_registry.yaml|result/20260427_094827/signals.csv,project_team,2026-04-28
tc_031,神经网络,神经网络,NN,neural networks|neural-network|nn,neural network,机器学习中的基础函数逼近和表征学习模型,AI.01,基础模型与算法,application,active,机器学习|感知模型|控制策略,提供表征学习和函数拟合能力,深度学习|神经网络架构|训练优化,,,,tc_010|tc_019|tc_032,,unknown,medium,low,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_032,大语言模型,大语言模型,LLM,large language models|llm|llms|language model|foundation model|大模型|基础模型,large language model,具备语言理解生成和推理能力的大规模基础模型,AI.02,基础模型与算法,early_application,active,智能交互|机器人任务理解|规划辅助|知识接口,提供语言理解和任务泛化能力,预训练|指令微调|多模态对齐|工具调用,tc_001,tc_031,,tc_001,tc_020|tc_022|tc_025,智能终端产品供给,unknown,high,medium,src/config/object_family_registry.yaml|result/20260427_094827/signals.csv,project_team,2026-04-28
tc_033,机器人操作系统,机器人操作系统,ROS,robot operating system|ros,ros,机器人软件开发和运行中间件框架,EI.10,软件与工具链,application,active,机器人研发|模块通信|设备接入,提供机器人软件生态和模块通信,消息通信|节点管理|驱动接口|仿真集成,tc_003,,,,tc_024|tc_025,,unknown,medium,low,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_034,Python,Python,Python,python,python,机器学习和机器人开发中的通用编程语言工具节点,AI.03,软件与工具链,application,active,模型训练|算法实验|数据处理,支撑算法开发和实验验证,编程语言|数据处理|模型训练脚本,tc_033,,,,tc_031|tc_020,,unknown,low,low,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_035,课程学习,课程学习,课程学习,curriculum learning, curriculum learning,从简单任务到复杂任务逐步训练模型的方法,AI.04,学习与训练,research,active,机器人训练|强化学习|模型训练,提升训练稳定性和泛化能力,样本排序|难度调度|阶段训练,tc_020,tc_019,,tc_020,tc_021,,unknown,low,medium,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_036,神经进化,神经进化,神经进化,neuroevolution,neuroevolution,使用进化算法优化神经网络结构或参数的方法,AI.05,学习与训练,research,active,策略搜索|控制优化|自动机器学习,提供非梯度优化路径,进化算法|神经结构搜索|策略演化,tc_031,,,,tc_019,,unknown,low,low,src/config/object_family_registry.yaml,project_team,2026-04-28
tc_037,机器人导航,机器人导航,导航,robot navigation|autonomous navigation|navigation|自主导航,robot navigation,机器人在环境中定位避障并移动到目标位置的能力,EI.11,任务能力,application,active,移动机器人|服务机器人|仓储物流,实现自主移动和路径执行,定位建图|路径规划|避障控制|场景感知,tc_001,tc_023|tc_027|tc_024,,tc_001,tc_025|tc_006,,unknown,high,medium,result/20260427_094827/signals.csv|src/config/object_family_canonicalization.yaml,project_team,2026-04-28
tc_038,机器人操作,机器人操作,操作,robot manipulation|manipulation|grasping|机器人操作|抓取,robot manipulation,机器人对物体进行抓取移动装配和交互的能力,EI.12,任务能力,early_application,active,工业装配|家庭服务|实验自动化,完成对象操作任务,抓取规划|力控|视觉伺服|任务规划,tc_001,tc_004|tc_024|tc_025,,tc_001,tc_020|tc_022,,unknown,high,high,result/20260427_094827/signals.csv|src/config/object_family_canonicalization.yaml,project_team,2026-04-28
tc_039,沉浸式机器人遥操作,沉浸式机器人遥操作,遥操作,teleoperation|visual feedback|immersive teleoperation|机器人遥操作,robot teleoperation,通过视觉反馈和控制接口远程操作机器人的技术节点,EI.13,交互与控制,concept_proposal,active,人形机器人遥操作|远程维护|训练数据采集,增强人机远程控制透明度,视觉反馈|视角控制|通信延迟补偿|SLAM辅助,tc_024,tc_007|tc_028,,tc_024,tc_020|tc_038,,unknown,medium,medium,result/20260427_094827/signals.csv,project_team,2026-04-28
tc_040,物理AI数据飞轮,物理AI数据飞轮,数据飞轮,physical ai data flywheel|data flywheel|synthetic data for physical ai,physical ai data flywheel,围绕物理AI数据合成训练仿真验证形成闭环的数据体系,EI.14,数据与闭环,concept_proposal,active,具身智能训练|企业模型迭代|仿真数据生成,提升具身模型数据规模和闭环迭代能力,数据合成|仿真强化学习|模型验证|反馈迭代,tc_001,tc_021|tc_020|tc_032,,tc_001,tc_041,,unknown,high,high,result/20260427_094827/signals.csv|v2.6实施方案.md,project_team,2026-04-28
tc_041,机器人AI计算平台,机器人AI计算平台,AI计算平台,robot ai computing platform|edge ai platform|jetson thor,robot ai computing platform,面向机器人高性能实时推理和多模态处理的计算平台,EI.15,算力与平台,early_application,active,人形机器人|边缘推理|多模态感知,提供机器人端侧AI算力和开发生态,边缘计算|实时推理|传感器接入|模型部署,tc_003,tc_005|tc_026,,tc_003,tc_020|tc_025,,unknown,high,medium,result/20260427_094827/signals.csv,project_team,2026-04-28
tc_042,多模态具身交互,多模态具身交互,具身交互,multimodal embodied interaction|human robot interaction|具身交互,multimodal embodied interaction,融合语言视觉动作和场景反馈的人机具身交互能力,EI.16,交互与理解,research_to_early_application,active,人机协作|服务机器人|智能终端,理解人类意图并执行交互任务,语言理解|视觉 grounding|动作执行|反馈学习,tc_001,tc_026|tc_032|tc_024,,tc_001,tc_038|tc_039,,unknown,high,high,result/20260427_094827/signals.csv|v2.6实施方案.md,project_team,2026-04-28
